"","CONTEXT","Count"
"639","B01 | 03B | ",22
"640","B01 | 04 | ",20
"641","B01 | 05 | ",16
"642","B01 | 06 | ",4
"643","B01 | 07 | ",3
"644","B02 |  | ",1
"645","B02 | 01 | ",55
"646","B02 | 0102 | ",1
"647","B02 | 02 | ",4
"648","B02 | 03 | ",1
"649","B02 | 03A | ",49
"650","B02 | 03B | ",1
"651","B02 | 04 | ",173
"652","B02 | 05 | ",194
"653","B02 | 06 | ",51
"654","B02 | 07 | ",100
"655","B02 | 08 | ",19
"656","B02 | PII | ",8
"657","B03 |  | ",4
"658","B03 | 01 | ",23
"659","B03 | 0102 | ",5
"660","B03 | 02 | ",36
"661","B03 | 03A | ",49
"662","B03 | 03B | ",101
"663","B03 | 04 | ",229
"664","B03 | 05 | ",108
"665","B03 | 06 | ",64
"666","B03 | 07 | ",38
"667","B03 | 08 | ",47
"668","B03 | 11 | ",1
"669","B04 |  | ",2
"670","B04 | 01 | ",1
"671","B04 | 0102 | ",2
"672","B04 | 02 | ",14
"673","B04 | 03A | ",86
"674","B04 | 03B | ",73
"675","B04 | 04 | ",53
"676","B04 | 05 | ",106
"677","B04 | 06 | ",34
"678","B04 | 07 | ",207
"679","B04 | 08 | ",23
"680","B04 | 09 | ",11
"681","B05 |  | ",1
"682","B05 | 01 | ",10
"683","B05 | 02 | ",23
"684","B05 | 03 | ",1
"685","B05 | 03A | ",46
"686","B05 | 03B | ",79
"687","B05 | 04 | ",81
"688","B05 | 05 | ",116
"689","B05 | 06 | ",108
"690","B05 | 07 | ",79
"691","B05 | 08 | ",39
"692","B05 | 14 | ",2
"693","B06 |  | ",1
"694","B06 | 0102 | ",30
"695","B06 | 03A | ",32
"696","B06 | 03B | ",67
"697","B06 | 04 | ",217
"698","B06 | 05 | ",119
"699","B06 | 06 | ",83
"700","B06 | 07 | ",14
"701","B06 | 08 | ",2
"702","B07 |  | ",2
"703","B07 | 01 | ",1
"704","B07 | 0102 | ",139
"705","B07 | 02 | ",2
"706","B07 | 03 | ",68
"707","B07 | 04 | ",43
"708","B07 | 05 | ",113
"709","B07 | 06 | ",41
"710","B07 | 07 | ",25
"711","B08 | 03A | ",116
"712","B08 | 03B | ",107
"713","B08 | 04 | ",56
"714","B08 | 05 | ",71
"715","B08 | 06 | ",73
"716","B08 | 07 | ",24
"717","B08 | 08 | ",2
"718","B09 |  | ",2
"719","B09 | 0102 | ",20
"720","B09 | 03A | ",93
"721","B09 | 03B | ",43
"722","B09 | 04 | ",50
"723","B09 | 05 | ",35
"724","B09 | 06 | ",40
"725","B09 | 07 | ",3
"726","B10 |  | ",1
"727","B10 | 01 | ",1
"728","B10 | 0102 | ",68
"729","B10 | 03A | ",114
"730","B10 | 04 | ",98
"731","B10 | 05 | ",31
"732","B10 | 06 | ",36
"733","B10 | 07 | ",17
"734","B10 | 08 | ",5
"735","B11 | 0102 | ",3
"736","B11 | 02 | ",1
"737","B11 | 0304 | ",14
"738","B11 | 03A | ",18
"739","B11 | 04 | ",1
"740","B11 | 0607 | ",2
"741","B12 |  | ",1
"742","B12 | 0102 | ",43
"743","B12 | 02 | ",1
"744","B12 | 03 | ",16
"745","B12 | 04 | ",106
"746","B12 | 05 | ",51
"747","B12 | 06 | ",15
"748","B12 | 07 | ",252
"749","B12 | 08 | ",36
"750","B12 | 09 | ",2
"751","B13 |  | ",37
"752","B13 | 0102 | ",76
"753","B13 | 03A | ",29
"754","B13 | 03B | ",132
"755","B13 | 04 | ",142
"756","B13 | 05 | ",76
"757","B13 | 06 | ",75
"758","B13 | 07 | ",159
"759","B13 | 08 | ",3
"760","B13 | 09 | ",2
"761","B13 | PIII | ",1
"762","B13 | UNPROV | ",3
"763","B13UNPROV |  | ",1
"764","B14 |  | ",16
"765","B14 | 01 | ",1
"766","B14 | 0102 | ",84
"767","B14 | 02 | ",1
"768","B14 | 03 | ",1
"769","B14 | 03A | ",115
"770","B14 | 03B | ",85
"771","B14 | 04 | ",107
"772","B14 | 05 | ",123
"773","B14 | 06 | ",47
"774","B14 | 07 | ",185
"775","B14 | 08 | ",2
"776","B14 | UNPROV | ",3
"777","B15 |  | ",2
"778","B15 | 0102 | ",8
"779","B15 | 03A | ",7
"780","B15 | 03B | ",4
"781","B15 | 04 | ",7
"782","B15 | 05 | ",5
"783","B15 | 06 | ",7
"784","B15 | 07 | ",25
"785","B15 | 08 | ",13
"786","B16 | 0102 | ",61
"787","B16 | 03 | ",3
"788","B16 | 03A | ",59
"789","B16 | 03B | ",55
"790","B16 | 04 | ",80
"791","B16 | 05 | ",105
"792","B16 | 06 | ",35
"793","B16 | 07 | ",1
"794","B16 | 08 | ",6
"795","B17 | 0102 | ",12
"796","B17 | 03A | ",21
"797","B17 | 03B | ",17
"798","B17 | 04 | ",4
"799","B17 | 05 | ",44
"800","B17 | 06 | ",17
"801","B17 | 07 | ",61
"802","B17 | 08 | ",9
"803","B18 | 0102 | ",44
"804","B18 | 03A | ",22
"805","B18 | 03B | ",2
"806","B18 | 04 | ",20
"807","B18 | 05 | ",48
"808","B18 | 06 | ",20
"809","B18 | 07 | ",25
"810","B18 | 08 | ",3
"811","B19 | 0102 | ",5
"812","B19 | 02 | ",1
"813","B19 | 03A | ",26
"814","B19 | 03B | ",21
"815","B19 | 04 | ",24
"816","B19 | 05 | ",25
"817","B19 | 06 | ",13
"818","B19 | 07 | ",31
"819","B19 | 08 | ",1
"820","B19 | UNPROV | ",1
"821","B20 |  | ",3
"822","B20 | 0102 | ",39
"823","B20 | 02 | ",10
"824","B20 | 03A | ",67
"825","B20 | 03B | ",42
"826","B20 | 04 | ",38
"827","B20 | 05 | ",135
"828","B20 | 06 | ",51
"829","B20 | 07 | ",99
"830","B20 | 08 | ",1
"831","B21 |  | ",2
"832","B21 | 01 | ",6
"833","B21 | 02 | ",28
"834","B21 | 03A | ",20
"835","B21 | 04 | ",2
"836","B21 | 04A | ",97
"837","B21 | 04B | ",38
"838","B21 | 05 | ",149
"839","B21 | 06 | ",61
"840","B21 | 07 | ",54
"841","B22 | 01 | ",12
"842","B22 | 02 | ",17
"843","B22 | 03 | ",28
"844","B22 | 04 | ",144
"845","B22 | 05 | ",71
"846","B22 | 06 | ",41
"847","B22 | 07 | ",45
"848","B22 | UNPROV | ",5
"849","B23 | 01 | ",1
"850","B23 | 0102 | ",7
"851","B23 | 0106 | ",4
"852","B23 | 0206 | ",1
"853","B23 | 03 | ",23
"854","B23 | 03A | ",15
"855","B23 | 03B | ",8
"856","B23 | 04 | ",8
"857","B23 | 05 | ",15
"858","B23 | 05A | ",1
"859","B23 | 06 | ",16
"860","B23 | 07 | ",2
"861","B24 | 03A | ",5
"862","B24 | 03B | ",7
"863","B24 | 04 | ",2
"864","B24 | 05 | ",10
"865","B24 | 06 | ",3
