Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
B1,7,,,1,,,,1,7,1664.03,,,
B2,1,,,,7,6,,13,5.538461538,1719.948462,,,
B2,3a,,,1,4,9,2,16,5.25,1730.985,,,
B2,4,,,,11,31,5,47,5.127659574,1735.665745,,,
B2,5,,,1,13,25,,39,5.384615385,1725.834615,,,
B2,6,,,,3,13,1,17,5.117647059,1736.048824,,,
B2,7,,1,,19,39,3,62,5.306451613,1728.825161,,,
B2,8,,1,6,3,,,10,6.8,1671.682,,,
B3,1 and 2,,,,2,6,,8,5.25,1730.985,,,
B3,2,,,,2,1,,3,5.666666667,1715.043333,,,
B3,3a,,,4,12,8,1,25,5.76,1711.4724,,,
B3,3b,,,2,9,26,5,42,5.19047619,1733.262381,,,
B3,4,,,1,4,42,6,53,5,1740.55,,,
B3,5,,,,7,23,1,31,5.193548387,1733.144839,,,
B3,6,,,2,5,15,1,23,5.347826087,1727.242174,,,
B3,7,,,2,6,13,,21,5.476190476,1722.330952,,,
B3,8,,,1,7,17,,25,5.36,1726.7764,,,
B4,2,,,,1,2,,3,5.333333333,1727.796667,,,
B4,3a,,,2,9,14,1,26,5.461538462,1722.891538,,,
B4,3b,,1,6,8,11,,26,5.884615385,1706.704615,,,
B4,4,,,1,2,9,,12,5.333333333,1727.796667,,,
B4,5,,,,3,19,,22,5.136363636,1735.332727,,,
B4,6,,,,6,21,1,28,5.178571429,1733.717857,,,
B4,7,,,1,19,22,,42,5.5,1721.42,,,
B4,8,,,1,6,11,1,19,5.368421053,1726.454211,,,
B4,9,,,,1,13,,14,5.071428571,1737.817143,,,
B5,2,,,,2,1,,3,5.666666667,1715.043333,,,
B5,3a,,,,7,8,,15,5.466666667,1722.695333,,,
B5,3b,,2,1,11,12,1,27,5.666666667,1715.043333,,,
B5,4,,,,3,11,1,15,5.133333333,1735.448667,,,
B5,5,,,,1,16,2,19,4.947368421,1742.563684,,,
B5,6,,,,4,32,,36,5.111111111,1736.298889,,,
B5,7,,,1,14,14,,29,5.551724138,1719.441034,,,
B5,8,,,,12,6,,18,5.666666667,1715.043333,,,
B6,1 and 2,,,,2,4,,6,5.333333333,1727.796667,,,
B6,3a,,,,5,13,3,21,5.095238095,1736.90619,,,
B6,3b,,,,9,18,1,28,5.285714286,1729.618571,,,
B6,4,,,1,19,54,5,79,5.202531646,1732.801139,,,
B6,5,,,,3,31,,34,5.088235294,1737.174118,,,
B6,6,,,3,11,19,,33,5.515151515,1720.840303,,,
B6,7,,,,4,3,,7,5.571428571,1718.687143,,,
B7,1 and 2,,,,1,3,,4,5.25,1730.985,,,
B7,3a,,,3,19,34,,56,5.446428571,1723.469643,,,
B7,4,,1,1,9,18,2,31,5.387096774,1725.739677,,,
B7,5,,,5,18,28,,51,5.549019608,1719.54451,,,
B7,6,,,2,17,3,1,23,5.869565217,1707.280435,,,
B7,7,,,5,4,4,1,14,5.928571429,1705.022857,,,
B8,3a,,,,9,9,,18,5.5,1721.42,,,
B8,3b,,,1,10,29,2,42,5.238095238,1731.440476,,,
B8,4,,,,4,16,1,21,5.142857143,1735.084286,,,
B8,5,,,,6,34,,40,5.15,1734.811,,,
B8,6,,,1,9,20,1,31,5.322580645,1728.208065,,,
B8,7,,,1,,8,,9,5.222222222,1732.047778,,,
B9,1 and 2,,,,1,2,,3,5.333333333,1727.796667,,,
B9,3a,,,2,3,7,1,13,5.461538462,1722.891538,,,
B9,3b,,,,8,14,1,23,5.304347826,1728.905652,,,
B9,4,,,,3,14,,17,5.176470588,1733.798235,,,
B9,5,,,,3,5,,8,5.375,1726.2025,,,
B9,6,,,1,3,5,,9,5.555555556,1719.294444,,,
B9,7,,,1,,2,,3,5.666666667,1715.043333,,,
B10,1,,,,1,4,,5,5.2,1732.898,,,
B10,3a,,,,12,17,2,31,5.322580645,1728.208065,,,
B10,4,,,,5,28,,33,5.151515152,1734.75303,,,
B10,5,,,,3,8,,11,5.272727273,1730.115455,,,
B10,6,,,1,4,9,,14,5.428571429,1724.152857,,,
B10,7,,,,2,3,,5,5.4,1725.246,,,
B10,8,,,,1,1,,2,5.5,1721.42,,,
B11,1 and 2,,,,,1,,1,5,1740.55,,,
B11,3a,,,,,1,,1,5,1740.55,,,
B11,3 and 4,,,,2,8,,10,5.2,1732.898,,,
B11,6 and 7,,,1,,3,,4,5.5,1721.42,,,
B12,1 and 2,,,1,,1,,2,6,1702.29,,,
B12,3,,,,1,7,,8,5.125,1735.7675,,,
B12,4,,,,4,16,1,21,5.142857143,1735.084286,,,
B12,5,,,,5,13,1,19,5.210526316,1732.495263,,,
B12,6,,,,1,15,,16,5.0625,1738.15875,,,
B12,7,,,1,18,35,2,56,5.321428571,1728.252143,,,
B12,8,,,,9,4,,13,5.692307692,1714.062308,,,
B13,1 and 2,,,,3,7,,10,5.3,1729.072,,,
B13,3a,,1,,2,2,,5,6,1702.29,,,
B13,3b,,,,12,37,1,50,5.22,1732.1328,,,
B13,4,,,1,5,18,4,28,5.107142857,1736.450714,,,
B13,5,,,,4,15,3,22,5.045454545,1738.810909,,,
B13,6,,,1,11,37,3,52,5.192307692,1733.192308,,,
B13,7,,,1,28,51,,80,5.375,1726.2025,,,
B13,8,,,1,1,2,,4,5.75,1711.855,,,
B14,1 and 2,,,,5,8,,13,5.384615385,1725.834615,,,
B14,3a,,,,7,30,,37,5.189189189,1733.311622,,,
